DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,ORIGIN,ARR_DELAY,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_snow,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,DEST_WTH_temp,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_snow,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk
2,DL,9E,JFK,-14.0,2022-01-11 12:30:00,2022-01-11 13:45:00,16.9,0.0,0,0.0,10.7,300.0,7.2,9.9,10.0,7.8,0.0,0,0.0,3.5,275.0,52.0,8.6,10.0
2,UA,OO,ORD,-8.0,2022-01-11 10:45:00,2022-01-11 13:37:00,18.9,0.0,0,0.0,14.3,198.0,52.9,9.9,10.0,7.8,0.0,0,0.0,3.5,275.0,52.0,8.6,10.0
2,UA,G7,ORD,-9.0,2022-01-11 14:30:00,2022-01-11 17:21:00,29.4,0.0,0,0.0,21.3,189.0,24.2,9.9,10.0,7.9,0.0,0,0.0,6.7,157.0,48.8,9.9,10.0
2,AA,OO,ORD,-18.0,2022-01-18 12:40:00,2022-01-18 15:31:00,39.3,0.0,0,0.0,13.9,187.0,84.4,9.9,10.0,21.7,0.0,0,0.0,11.5,300.0,27.2,9.9,10.0
2,AA,PT,ORD,-7.0,2022-01-18 17:30:00,2022-01-18 20:18:00,43.1,0.0,0,0.0,19.0,197.0,78.4,9.9,10.0,16.4,0.0,0,0.0,4.4,204.0,26.2,9.9,10.0
2,UA,OO,ORD,-13.0,2022-01-18 17:55:00,2022-01-18 20:52:00,43.1,0.0,0,0.0,19.0,197.0,78.4,9.9,10.0,13.5,0.0,0,0.0,4.4,88.0,26.2,9.9,10.0
2,B6,B6,JFK,-1.0,2022-01-18 09:25:00,2022-01-18 10:43:00,32.5,0.0,0,0.0,12.4,283.0,33.2,9.9,10.0,24.0,0.0,0,0.0,15.1,300.0,100.0,8.0,10.0
2,B6,B6,JFK,-18.0,2022-01-18 21:59:00,2022-01-18 23:14:00,30.5,0.0,0,0.0,6.4,320.0,0.0,9.9,10.0,12.6,0.0,0,0.0,7.8,130.0,50.8,9.9,10.0
2,B6,B6,MCO,19.0,2022-01-18 16:17:00,2022-01-18 19:00:00,62.9,0.0,0,0.0,3.6,22.0,0.0,9.9,10.0,18.5,0.0,0,0.0,5.5,224.0,84.3,9.9,10.0
2,DL,9E,JFK,2.0,2022-01-18 12:30:00,2022-01-18 13:45:00,35.3,0.0,0,0.0,13.6,303.0,97.0,9.9,10.0,22.9,0.0,0,0.0,20.7,291.0,30.9,9.9,10.0
2,UA,OO,ORD,-7.0,2022-01-18 10:45:00,2022-01-18 13:37:00,33.0,0.0,0,0.0,13.4,182.0,65.0,9.9,10.0,22.9,0.0,0,0.0,20.7,291.0,30.9,9.9,10.0
2,UA,G7,ORD,-16.0,2022-01-18 14:30:00,2022-01-18 17:21:00,43.1,0.0,0,0.0,18.1,192.0,63.5,9.9,10.0,19.9,0.0,0,0.0,9.1,291.0,26.2,9.9,10.0
2,AA,OO,ORD,-7.0,2022-01-25 12:40:00,2022-01-25 15:31:00,13.5,0.0,0,0.0,13.3,307.0,24.2,9.9,10.0,24.2,0.0,0,0.04,7.0,285.0,100.0,1.6,10.0
2,AA,PT,ORD,-10.0,2022-01-25 17:30:00,2022-01-25 20:18:00,8.4,0.0,0,0.0,13.0,268.0,0.0,9.9,10.0,18.1,0.0,0,0.04,8.1,271.0,89.6,9.8,10.0
