DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk,DEST_WTH_conditions
1,AA,OO,3253,ORD,SYR,1709.0,98.0,0,0,N,607,0.0,0.0,98.0,0,,2022-01-24 12:40:00,2022-01-24 15:31:00,27.2,16.9,0.0,0,snow,0.01,13.6,11.6,322.0,100.0,9.9,10.0,Overcast,21.7,11.7,0.0,0,snow,0.02,13.2,8.9,177.0,100.0,9.9,10.0,Overcast
1,AA,PT,6235,ORD,SYR,2108.0,50.0,0,0,N,607,0.0,50.0,0.0,0,,2022-01-24 17:30:00,2022-01-24 20:18:00,17.9,4.2,0.0,0,snow,0.01,21.5,13.6,320.0,44.0,9.9,10.0,Partially cloudy,19.9,10.2,0.011,100,snow,0.02,9.4,7.9,90.0,100.0,1.8,10.0,"Snow, Overcast"
1,UA,OO,5412,ORD,SYR,2041.0,-11.0,0,0,N,607,,,,0,,2022-01-24 17:55:00,2022-01-24 20:52:00,17.9,4.2,0.0,0,snow,0.01,21.5,13.6,320.0,44.0,9.9,10.0,Partially cloudy,20.0,11.1,0.011,100,snow,0.02,15.0,6.9,81.0,100.0,1.9,10.0,"Snow, Overcast"
1,B6,B6,116,JFK,SYR,1102.0,19.0,0,0,N,209,0.0,19.0,0.0,0,,2022-01-24 09:25:00,2022-01-24 10:43:00,27.3,19.8,0.0,0,,0.0,8.9,7.0,340.0,100.0,7.7,10.0,Overcast,16.9,8.5,0.0,0,snow,0.02,6.3,5.7,223.0,85.4,9.9,10.0,Partially cloudy
1,B6,B6,2516,JFK,SYR,2318.0,4.0,0,0,N,209,,,,0,,2022-01-24 21:59:00,2022-01-24 23:14:00,35.3,30.1,0.0,0,,0.0,20.1,6.2,200.0,100.0,9.6,10.0,Overcast,20.0,11.3,0.011,100,snow,0.02,4.0,6.7,69.0,100.0,7.8,10.0,"Snow, Overcast"
1,B6,B6,656,MCO,SYR,1851.0,-9.0,0,0,N,1053,,,,0,,2022-01-24 16:17:00,2022-01-24 19:00:00,62.7,62.7,0.0,0,,0.0,6.9,9.5,296.0,9.4,9.9,10.0,Clear,19.9,12.1,0.019,100,snow,0.02,12.5,5.7,101.0,100.0,2.4,10.0,"Snow, Overcast"
1,DL,9E,5446,JFK,SYR,1332.0,-13.0,0,0,N,209,,,,0,,2022-01-24 12:30:00,2022-01-24 13:45:00,30.6,25.0,0.0,0,,0.0,5.6,5.5,70.0,88.8,9.9,10.0,Partially cloudy,20.8,12.1,0.0,0,snow,0.02,9.2,6.9,159.0,94.6,9.9,10.0,Overcast
1,UA,OO,5392,ORD,SYR,1422.0,45.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-24 10:45:00,2022-01-24 13:37:00,27.2,18.3,0.0,0,snow,0.01,17.4,9.1,279.0,100.0,4.8,10.0,Overcast,20.8,12.1,0.0,0,snow,0.02,9.2,6.9,159.0,94.6,9.9,10.0,Overcast
1,UA,G7,4576,ORD,SYR,1802.0,41.0,0,0,N,607,0.0,5.0,32.0,0,,2022-01-24 14:30:00,2022-01-24 17:21:00,26.8,17.4,0.0,0,snow,0.01,11.9,9.7,316.0,100.0,9.9,10.0,Overcast,21.7,11.7,0.0,0,snow,0.02,14.1,8.8,147.0,100.0,9.6,10.0,Overcast
1,AA,OO,3253,ORD,SYR,1518.0,-13.0,0,0,N,607,,,,0,,2022-01-31 12:40:00,2022-01-31 15:31:00,33.9,24.5,0.0,0,,0.0,25.2,13.5,163.0,69.5,9.7,10.0,Partially cloudy,30.8,26.1,0.0,0,,0.0,4.0,4.5,86.0,26.2,9.9,10.0,Partially cloudy
1,AA,PT,6235,ORD,SYR,2003.0,-15.0,0,0,N,607,,,,0,,2022-01-31 17:30:00,2022-01-31 20:18:00,31.7,21.7,0.0,0,,0.0,17.0,13.9,142.0,88.1,8.6,10.0,Partially cloudy,18.8,14.1,0.0,0,,0.0,3.6,3.2,88.0,0.0,9.9,10.0,Clear
1,UA,OO,5412,ORD,SYR,2052.0,0.0,0,0,N,607,,,,0,,2022-01-31 17:55:00,2022-01-31 20:52:00,31.7,21.7,0.0,0,,0.0,17.0,13.9,142.0,88.1,8.6,10.0,Partially cloudy,20.6,16.2,0.0,0,,0.0,3.8,3.2,146.0,0.0,9.9,10.0,Clear
1,B6,B6,116,JFK,SYR,1050.0,7.0,0,0,N,209,,,,0,,2022-01-31 09:25:00,2022-01-31 10:43:00,24.8,17.9,0.0,0,,0.0,3.8,5.8,53.0,23.8,9.9,10.0,Partially cloudy,25.8,25.8,0.0,0,,0.0,7.4,0.3,352.0,26.2,9.9,10.0,Partially cloudy
1,B6,B6,2516,JFK,SYR,2353.0,39.0,0,0,N,209,0.0,0.0,18.0,0,,2022-01-31 21:59:00,2022-01-31 23:14:00,27.0,19.5,0.0,0,,0.0,5.8,6.9,65.0,7.2,9.9,10.0,Clear,16.9,8.7,0.0,0,,0.0,6.5,5.6,118.0,0.0,9.9,10.0,Clear
1,B6,B6,656,MCO,SYR,1944.0,44.0,0,0,N,1053,0.0,0.0,0.0,0,,2022-01-31 16:17:00,2022-01-31 19:00:00,69.0,69.0,0.0,0,,0.0,8.9,4.9,235.0,2.9,9.9,10.0,Clear,21.6,21.6,0.0,0,,0.0,6.0,0.0,0.0,0.0,9.9,10.0,Clear
1,DL,9E,5446,JFK,SYR,1331.0,-14.0,0,0,N,209,,,,0,,2022-01-31 12:30:00,2022-01-31 13:45:00,28.8,21.7,0.0,0,,0.0,4.3,6.9,40.0,23.8,9.9,10.0,Partially cloudy,30.7,30.7,0.0,0,,0.0,6.3,0.2,359.0,27.2,9.9,10.0,Partially cloudy
1,UA,OO,5392,ORD,SYR,1330.0,-7.0,0,0,N,607,,,,0,,2022-01-31 10:45:00,2022-01-31 13:37:00,33.5,25.5,0.0,0,,0.0,14.3,10.1,180.0,89.0,7.1,10.0,Partially cloudy,30.7,30.7,0.0,0,,0.0,6.3,0.2,359.0,27.2,9.9,10.0,Partially cloudy
1,UA,G7,4576,ORD,SYR,1730.0,9.0,0,0,N,607,,,,0,,2022-01-31 14:30:00,2022-01-31 17:21:00,34.6,25.0,0.0,0,,0.0,28.3,15.0,164.0,44.0,9.7,10.0,Partially cloudy,29.8,23.9,0.0,0,,0.0,4.7,5.6,72.0,26.2,9.9,10.0,Partially cloudy
2,AA,OO,3253,ORD,SYR,,,1,0,N,607,,,,0,,2022-01-04 12:40:00,2022-01-04 15:31:00,33.5,23.1,0.0,0,,0.0,28.8,16.1,187.0,88.1,9.9,,Partially cloudy,34.0,28.6,0.0,0,,0.0,,5.9,161.0,47.7,9.9,,Partially cloudy
2,B6,B6,656,MCO,SYR,1609.0,13.0,0,0,N,1053,,,,0,,2022-01-04 13:13:00,2022-01-04 15:56:00,73.2,73.2,0.0,0,,0.0,,10.7,78.0,88.4,9.9,,Partially cloudy,34.0,28.6,0.0,0,,0.0,,5.9,161.0,47.7,9.9,,Partially cloudy
2,AA,PT,6235,ORD,SYR,2033.0,15.0,0,0,N,607,0.0,4.0,4.0,0,,2022-01-04 17:30:00,2022-01-04 20:18:00,34.0,24.3,0.0,0,,0.0,26.4,14.6,177.0,88.1,9.9,,Partially cloudy,33.7,27.1,0.0,0,,0.0,,7.8,150.0,26.2,9.9,,Partially cloudy
2,UA,OO,5412,ORD,SYR,2135.0,43.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-04 17:55:00,2022-01-04 20:52:00,34.0,24.3,0.0,0,,0.0,26.4,14.6,177.0,88.1,9.9,,Partially cloudy,29.0,22.0,0.0,0,,0.0,,6.8,91.0,47.3,9.9,,Partially cloudy
2,B6,B6,116,JFK,SYR,942.0,-8.0,0,0,N,209,,,,0,,2022-01-04 08:29:00,2022-01-04 09:50:00,19.9,9.2,0.0,0,,0.0,16.8,9.2,360.0,0.0,9.9,,Clear,24.0,19.6,0.0,0,,0.0,,3.4,130.0,100.0,9.9,,Overcast
2,B6,B6,2516,JFK,SYR,2231.0,-28.0,0,0,N,209,,,,0,,2022-01-04 21:45:00,2022-01-04 22:59:00,32.3,26.5,0.0,0,,0.0,14.3,6.1,210.0,23.8,9.9,,Partially cloudy,28.2,24.2,0.0,0,,0.0,,3.6,31.0,47.3,9.9,,Partially cloudy
2,DL,9E,5531,JFK,SYR,1352.0,-20.0,0,0,N,209,,,,0,,2022-01-04 12:55:00,2022-01-04 14:12:00,31.5,27.1,0.0,0,,0.0,9.6,4.3,270.0,7.2,9.9,,Clear,33.0,25.6,0.0,0,,0.0,,9.0,239.0,100.0,9.9,,Overcast
2,UA,OO,5392,ORD,SYR,1336.0,-1.0,0,0,N,607,,,,0,,2022-01-04 10:45:00,2022-01-04 13:37:00,31.3,20.3,0.0,0,,0.0,26.8,16.0,182.0,80.9,9.9,,Partially cloudy,33.0,25.6,0.0,0,,0.0,,9.0,239.0,100.0,9.9,,Overcast
2,UA,G7,4576,ORD,SYR,1742.0,21.0,0,0,N,607,0.0,0.0,14.0,0,,2022-01-04 14:30:00,2022-01-04 17:21:00,34.5,25.2,0.0,0,,0.0,27.2,13.9,180.0,85.6,9.9,,Partially cloudy,31.9,27.2,0.0,0,,0.0,,4.7,110.0,47.3,9.9,,Partially cloudy
