MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,4,1/13/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1732,11,0,0,N,607,,,,0
1,4,1/13/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1316,-21,0,0,N,607,,,,0
1,4,1/13/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2027,-25,0,0,N,607,,,,0
1,4,1/20/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1542,11,0,0,N,607,,,,0
1,4,1/20/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2009,-9,0,0,N,607,,,,0
1,4,1/20/22 0:00,B6,B6,116,JFK,SYR,925,1043,1039,-4,0,0,N,209,,,,0
1,4,1/20/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2302,-12,0,0,N,209,,,,0
1,4,1/20/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1837,-23,0,0,N,1053,,,,0
1,4,1/20/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1354,9,0,0,N,209,,,,0
1,4,1/20/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1719,-2,0,0,N,607,,,,0
1,4,1/20/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1326,-11,0,0,N,607,,,,0
1,4,1/20/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2054,2,0,0,N,607,,,,0
1,4,1/27/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1641,70,0,0,N,607,0,0,0,0
1,4,1/27/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1048,-8,0,0,N,607,,,,0
1,4,1/27/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2029,11,0,0,N,607,,,,0
1,4,1/27/22 0:00,B6,B6,116,JFK,SYR,925,1043,1046,3,0,0,N,209,,,,0
1,4,1/27/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2313,-1,0,0,N,209,,,,0
1,4,1/27/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1843,-17,0,0,N,1053,,,,0
1,4,1/27/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1345,0,0,0,N,209,,,,0
1,4,1/27/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1651,-30,0,0,N,607,,,,0
1,4,1/27/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1326,-11,0,0,N,607,,,,0
1,4,1/27/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2051,-1,0,0,N,607,,,,0
1,5,1/7/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0
1,5,1/7/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1104,8,0,0,N,607,,,,0
1,5,1/7/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,,,1,0,N,607,,,,0
1,5,1/7/22 0:00,B6,B6,116,JFK,SYR,925,1043,,,1,0,N,209,,,,0
1,5,1/7/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,40,86,0,0,N,209,0,0,67,0
1,5,1/7/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1902,2,0,0,N,1053,,,,0
1,5,1/7/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1500,75,0,0,N,209,22,0,53,0
1,5,1/7/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1806,45,0,0,N,607,0,45,0,0
1,5,1/7/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1556,139,0,0,N,607,0,0,0,0
1,5,1/7/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2113,21,0,0,N,607,0,0,0,0
1,5,1/14/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1709,98,0,0,N,607,0,0,98,0
1,5,1/14/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1040,-16,0,0,N,607,,,,0
1,5,1/14/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2154,96,0,0,N,607,0,44,52,0
1,5,1/14/22 0:00,B6,B6,116,JFK,SYR,925,1043,1033,-10,0,0,N,209,,,,0
1,5,1/14/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2313,-1,0,0,N,209,,,,0
1,5,1/14/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1856,-4,0,0,N,1053,,,,0
1,5,1/14/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1339,-6,0,0,N,209,,,,0
1,5,1/14/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1900,99,0,0,N,607,0,0,50,0
1,5,1/14/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1358,21,0,0,N,607,0,0,0,0
1,5,1/14/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2038,-14,0,0,N,607,,,,0
1,5,1/21/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1519,-12,0,0,N,607,,,,0
1,5,1/21/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1108,12,0,0,N,607,,,,0
1,5,1/21/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2042,24,0,0,N,607,0,15,8,0
